YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 06 00 278 11.3 13.1  3.23 14.29  6.88 999 1008.9  23.5  25.3 999.0 99.0
98 01 06 01 276 11.0 13.3  3.15 14.29  6.60 999 1008.4  23.6  25.3 999.0 99.0
98 01 06 02 275 10.5 12.6  3.36 12.50  6.81 999 1008.6  24.0  25.3 999.0 99.0
98 01 06 03 268 10.7 13.0  3.29 12.50  6.53 999 1008.8  24.0  25.3 999.0 99.0
98 01 06 04 272 11.1 13.7  3.36 14.29  6.50 999 1009.2  24.1  25.3 999.0 99.0
98 01 06 05 280 10.8 13.7  3.69 12.50  7.01 999 1009.5  23.8  25.3 999.0 99.0
98 01 06 06 268 10.4 12.5  3.98 11.11  7.27 999 1010.0  23.8  25.3 999.0 99.0
98 01 06 07 273 10.9 13.3  4.03 11.11  7.23 999 1010.5  23.9  25.3 999.0 99.0
98 01 06 08 285 10.0 12.0  4.14 11.11  7.37 999 1010.8  23.4  25.3 999.0 99.0
98 01 06 09 285 10.9 13.2  4.37 11.11  7.69 999 1011.1  23.5  25.2 999.0 99.0
98 01 06 10 282 12.1 14.5  4.50 12.50  7.78 999 1010.9  23.6  25.2 999.0 99.0
98 01 06 11 290 10.3 12.3  4.66 12.50  7.77 999 1010.8  23.3  25.2 999.0 99.0
98 01 06 12 290  9.9 11.5  4.97 12.50  8.31 999 1010.3  22.9  25.2 999.0 99.0
98 01 06 13 290  9.5 11.8  5.06 12.50  8.28 999 1009.8  22.6  25.2 999.0 99.0
98 01 06 14 286  8.9 11.7  5.20 12.50  8.50 999 1009.6  23.1  25.2 999.0 99.0
98 01 06 15 278  9.2 11.5  4.93 12.50  8.37 999 1010.0  22.9  25.2 999.0 99.0
98 01 06 16 289  8.5 10.1  5.24 14.29  8.73 999 1010.3  22.9  25.2 999.0 99.0
98 01 06 17 280  7.3  9.4  5.05 12.50  8.73 999 1010.8  23.2  25.2 999.0 99.0
98 01 06 18 289  8.0 10.3  4.45 14.29  8.56 999 1011.6  23.4  25.2 999.0 99.0
98 01 06 19 290  8.4 10.5  4.34 14.29  8.45 999 1012.4  23.5  25.2 999.0 99.0
98 01 06 20 292  7.4  9.5  4.65 14.29  8.73 999 1012.9  24.0  25.2 999.0 99.0
98 01 06 21 296  7.4  9.3  4.82 14.29  9.07 999 1013.0  23.8  25.2 999.0 99.0
98 01 06 22 295  8.6 10.1  4.65 14.29  9.17 999 1012.5  23.5  25.2 999.0 99.0
