YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 06 09 139  2.9  4.0  1.24 11.11  8.04 999 1014.9  24.0  25.4 999.0 99.0
1999 01 06 10 139  2.5  3.6  1.27 12.50  7.89 999 1014.7  24.0  25.4 999.0 99.0
1999 01 06 11 144  2.8  4.0  1.37  7.69  7.52 999 1014.5  24.1  25.5 999.0 99.0
1999 01 06 12 170  2.6  3.3  1.36 11.11  7.35 999 1014.3  23.9  25.4 999.0 99.0
1999 01 06 13 167  2.2  2.9  1.37  7.14  7.26 999 1013.8  23.9  25.5 999.0 99.0
1999 01 06 14 180  1.6  2.5  1.13  9.09  7.05 999 1013.5  23.8  25.4 999.0 99.0
1999 01 06 15 155  2.3  3.3  1.29  8.33  7.41 999 1013.5  23.6  25.4 999.0 99.0
1999 01 06 16 144  2.0  3.1  1.25  8.33  7.65 999 1013.8  23.7  25.4 999.0 99.0
1999 01 06 17 151  2.5  3.7  1.16  7.69  7.45 999 1014.1  23.7  25.4 999.0 99.0
1999 01 06 18 157  2.6  3.5  1.28  7.69  7.48 999 1014.8  23.9  25.4 999.0 99.0
1999 01 06 19 148  2.7  3.5  1.33  7.69  7.58 999 1015.5  24.2  25.4 999.0 99.0
1999 01 06 20 160  2.0  2.8  1.19  9.09  7.44 999 1015.9  24.7  25.4 999.0 99.0
1999 01 06 21 144  1.9  2.5  1.24 11.11  7.58 999 1015.8  24.6  25.5 999.0 99.0
1999 01 06 22 149  2.2  3.0  1.21 10.00  7.50 999 1015.2  24.6  25.6 999.0 99.0
1999 01 06 23 149  2.3  3.3  1.13  7.69  7.14 999 1014.7  24.3  25.7 999.0 99.0
1999 01 07 00 142  2.0  2.9  1.14  7.69  7.19 999 1014.1  24.6  25.8 999.0 99.0
1999 01 07 01 149  1.3  2.3  1.12  7.69  7.14 999 1013.7  24.7  25.8 999.0 99.0
1999 01 07 02 306   .9  1.7  1.12 12.50  7.30 999 1013.8  25.3  26.0 999.0 99.0
1999 01 07 03 349   .6  1.5  1.04 10.00  6.94 999 1014.2  25.2  25.9 999.0 99.0
1999 01 07 04  83  1.4  2.5  1.04  9.09  7.06 999 1014.5  24.8  25.8 999.0 99.0
1999 01 07 05  76  1.3  1.9  1.04 11.11  7.54 999 1014.9  24.3  25.8 999.0 99.0
1999 01 07 06  50  1.2  1.8  1.03 11.11  7.54 999 1015.6  24.1  25.7 999.0 99.0
1999 01 07 07  44  1.9  2.5  1.04 11.11  7.56 999 1016.3  24.3  25.7 999.0 99.0
1999 01 07 08  66  2.6  3.6   .98 10.00  7.55 999 1016.4  24.5  25.6 999.0 99.0
1999 01 07 09  74  3.3  4.3  1.04  8.33  7.62 999 1016.4  24.4  25.6 999.0 99.0
1999 01 07 10  88  3.5  4.3  1.05 11.11  7.55 999 1016.3  24.7  25.5 999.0 99.0
1999 01 07 11  61  2.8  3.7  1.00  7.69  6.95 999 1016.3  24.3  25.5 999.0 99.0
1999 01 07 12  63  2.7  3.7  1.14  8.33  7.30 999 1015.9  24.0  25.5 999.0 99.0
1999 01 07 13  71  2.4  3.1  1.05 12.50  7.25 999 1015.3  24.6  25.5 999.0 99.0
1999 01 07 14  72  2.6  3.5  1.05  9.09  7.09 999 1014.7  24.3  25.5 999.0 99.0
1999 01 07 15 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
1999 01 07 16  38  2.4  3.2  1.08 14.29  7.03 999 1015.2  22.7  25.4 999.0 99.0
1999 01 07 17  76  3.8  4.7  1.24 14.29  7.65 999 1015.1  23.1  25.4 999.0 99.0
1999 01 07 18  86  2.0  2.7  1.24 14.29  7.72 999 1015.8  23.6  25.5 999.0 99.0
1999 01 07 19 137  2.7  3.7  1.38 14.29  7.70 999 1016.0  24.5  25.4 999.0 99.0
1999 01 07 20 124  4.1  5.1  1.31 14.29  7.20 999 1016.0  24.8  25.5 999.0 99.0
1999 01 07 21 121  3.9  4.8  1.53 14.29  7.14 999 1016.2  24.7  25.5 999.0 99.0
1999 01 07 22 114  4.1  5.3  1.45 14.29  6.68 999 1016.0  24.8  25.5 999.0 99.0
1999 01 07 23 118  5.1  5.9  1.60 12.50  7.07 999 1014.8  24.7  25.5 999.0 99.0
1999 01 08 00 105  4.5  5.3  1.61 12.50  6.91 999 1014.0  24.9  25.6 999.0 99.0
1999 01 08 01 107  4.6  5.8  1.53 12.50  6.79 999 1013.4  24.7  25.6 999.0 99.0
1999 01 08 02  93  4.5  5.8  1.59 12.50  7.32 999 1013.5  24.6  25.6 999.0 99.0
1999 01 08 03 101  5.1  6.2  1.79 12.50  7.41 999 1013.4  24.7  25.5 999.0 99.0
1999 01 08 04  99  4.8  6.1  1.61 12.50  7.05 999 1013.8  24.5  25.5 999.0 99.0
1999 01 08 05 104  5.0  6.3  1.81 11.11  7.02 999 1014.3  24.6  25.5 999.0 99.0
1999 01 08 06 102  3.9  4.7  1.71 11.11  6.87 999 1015.1  24.6  25.5 999.0 99.0
1999 01 08 07  97  4.3  5.9  1.66 11.11  6.93 999 1015.3  24.5  25.5 999.0 99.0
1999 01 08 08  90  4.7  6.1  1.64 12.50  7.09 999 1015.4  24.5  25.4 999.0 99.0
1999 01 08 09 100  4.0  4.8  1.79 11.11  7.28 999 1015.4  24.4  25.4 999.0 99.0
1999 01 08 10 101  5.3  6.3  1.75 12.50  7.03 999 1014.9  24.2  25.4 999.0 99.0
1999 01 08 11 111  5.6  6.7  1.87 12.50  7.10 999 1014.7  24.5  25.4 999.0 99.0
1999 01 08 12 116  4.9  6.1  1.73 12.50  6.79 999 1014.7  24.4  25.4 999.0 99.0
1999 01 08 13 119  5.0  6.4  1.91 12.50  7.16 999 1013.7  24.3  25.4 999.0 99.0
1999 01 08 14 122  4.7  5.8  1.81 14.29  6.98 999 1013.6  24.4  25.4 999.0 99.0
1999 01 08 15 128  5.4  6.4  2.64 16.67  9.02 999 1013.3  24.7  25.3 999.0 99.0
1999 01 08 16 131  6.7  7.9  2.80 16.67  9.52 999 1013.1  24.3  25.3 999.0 99.0
1999 01 08 17 137  6.7  8.3  3.08 16.67  9.33 999 1013.3  23.7  25.3 999.0 99.0
1999 01 08 18 133  5.4  6.9  3.79 16.67 10.38 999 1013.6  24.2  25.3 999.0 99.0
1999 01 08 19 146  5.2  6.7  3.46 14.29 10.05 999 1014.0  24.9  25.3 999.0 99.0
1999 01 08 20 155  5.8  7.1  3.19 16.67  9.88 999 1014.4  24.8  25.3 999.0 99.0
1999 01 08 21 146  6.0  7.4  3.09 14.29  9.66 999 1014.4  25.0  25.3 999.0 99.0
1999 01 08 22 153  5.2  6.6  3.86 16.67 10.72 999 1014.3  24.8  25.4 999.0 99.0
1999 01 08 23 158  4.7  5.9  3.46 16.67 10.32 999 1013.5  24.8  25.4 999.0 99.0
1999 01 09 00 170  3.7  4.7  3.63 14.29 10.03 999 1012.5  24.5  25.4 999.0 99.0
1999 01 09 01 174  5.3  6.8  3.71 14.29 10.26 999 1012.4  22.4  25.4 999.0 99.0
1999 01 09 02 349  1.5  2.7  3.15 16.67  9.95 999 1012.7  21.5  25.3 999.0 99.0
1999 01 09 03 327  6.6  8.0  3.26 16.67  9.82 999 1013.0  22.1  25.3 999.0 99.0
1999 01 09 04 338  9.8 11.5  3.88 16.67  9.07 999 1013.6  22.1  25.4 999.0 99.0
1999 01 09 05 338 11.7 13.6  3.69 16.67  7.70 999 1014.6  21.3  25.4 999.0 99.0
1999 01 09 06 340 12.0 14.0  3.32 14.29  6.58 999 1015.0  20.7  25.4 999.0 99.0
1999 01 09 07   5  9.0 11.1  3.83 16.67  8.47 999 1015.3  21.2  25.4 999.0 99.0
1999 01 09 08  59  6.7  8.3  3.59 16.67  8.86 999 1014.9  21.2  25.4 999.0 99.0
1999 01 09 09  23  5.0  6.4  3.11 16.67  8.35 999 1015.2  21.8  25.4 999.0 99.0
1999 01 09 10  19  5.5  7.0  3.34 16.67  9.34 999 1014.9  22.3  25.4 999.0 99.0
1999 01 09 11   2  2.9  4.1  3.61 16.67 10.63 999 1015.0  23.1  25.4 999.0 99.0
1999 01 09 12 351  4.4  5.9  3.59 16.67 10.63 999 1014.9  22.7  25.4 999.0 99.0
1999 01 09 13 355  4.5  6.0  3.88 16.67 11.12 999 1014.3  22.7  25.4 999.0 99.0
1999 01 09 14 345  7.0  9.1  3.99 16.67 11.14 999 1014.4  23.0  25.4 999.0 99.0
1999 01 09 15   2  6.8  9.0  4.13 16.67 11.08 999 1014.6  23.3  25.4 999.0 99.0
1999 01 09 16 353  6.7  8.1  3.83 16.67 10.11 999 1015.5  22.7  25.4 999.0 99.0
1999 01 09 17 349  6.6  7.9  3.82 16.67 10.27 999 1016.0  23.1  25.4 999.0 99.0
1999 01 09 18 349  6.9  8.6  4.34 16.67 10.81 999 1016.6  23.6  25.4 999.0 99.0
1999 01 09 19 356  8.2  9.9  3.85 20.00  9.77 999 1017.4  23.3  25.4 999.0 99.0
1999 01 09 20 358  8.1  9.7  4.04 16.67 10.04 999 1017.9  23.5  25.4 999.0 99.0
1999 01 09 21   7  7.3  8.5  4.17 16.67 10.46 999 1017.7  23.7  25.4 999.0 99.0
1999 01 09 22  12  6.3  7.9  3.94 20.00 10.16 999 1017.1  24.0  25.5 999.0 99.0
1999 01 09 23  32  6.2  7.4  3.81 16.67  9.63 999 1015.9  23.9  25.5 999.0 99.0
1999 01 10 00  32  6.7  8.2  3.68 16.67  9.34 999 1014.7  23.3  25.5 999.0 99.0
1999 01 10 01  44  6.8  8.1  3.92 16.67  9.97 999 1014.2  23.9  25.5 999.0 99.0
