#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 05 09 00  85  8.4 10.2  2.73  8.33  6.54 999 1018.3 999.0  25.4 999.0 99.0 99.00
2008 01 05 10 00  92  9.4 11.1  2.78  9.09  6.33 999 1017.8 999.0  25.4 999.0 99.0 99.00
2008 01 05 11 00  90  8.6 10.8  2.62  8.33  6.12 999 1017.4 999.0  25.4 999.0 99.0 99.00
2008 01 05 12 00  99  8.0  9.4  2.62  8.33  6.19 999 1017.1 999.0  25.4 999.0 99.0 99.00
2008 01 05 13 00 102  7.3  9.3  2.52  9.09  6.14 999 1016.4 999.0  25.4 999.0 99.0 99.00
2008 01 05 14 00 108  6.8  8.3  2.51  8.33  6.00 999 1016.2 999.0  25.3 999.0 99.0 99.00
2008 01 05 15 00 119  6.7  7.9  2.28  9.09  5.91 999 1016.1 999.0  25.3 999.0 99.0 99.00
2008 01 05 16 00 108  6.7  8.0  2.40  8.33  6.06 999 1016.5 999.0  25.3 999.0 99.0 99.00
2008 01 05 17 00 105  7.3  8.3  2.32  9.09  5.99 999 1016.8 999.0  25.3 999.0 99.0 99.00
2008 01 05 18 00  93  5.4  7.0  2.32  8.33  6.16 999 1017.3 999.0  25.3 999.0 99.0 99.00
2008 01 05 19 00  89  5.7  6.7  2.31  8.33  5.91 999 1017.8 999.0  25.4 999.0 99.0 99.00
2008 01 05 20 00  94  5.8  7.3  2.22  7.69  5.93 999 1018.2 999.0  25.4 999.0 99.0 99.00
2008 01 05 21 00  98  5.6  7.5  2.41  8.33  6.03 999 1018.2 999.0  25.4 999.0 99.0 99.00
2008 01 05 22 00  73  4.0  4.9  2.56  8.33  6.16 999 1017.9 999.0  25.4 999.0 99.0 99.00
2008 01 05 23 00 117  5.0  6.4  2.61  8.33  6.35 999 1016.9 999.0  25.4 999.0 99.0 99.00
2008 01 06 00 00 107  5.6  7.2  2.48  8.33  6.20 999 1015.8 999.0  25.5 999.0 99.0 99.00
2008 01 06 01 00 123  6.1  7.8  2.43  8.33  6.10 999 1015.6 999.0  25.5 999.0 99.0 99.00
2008 01 06 02 00 116  6.9  8.6  2.42  8.33  6.04 999 1015.5 999.0  25.5 999.0 99.0 99.00
2008 01 06 03 00 125  6.9  8.2  2.42  8.33  6.07 999 1015.5 999.0  25.5 999.0 99.0 99.00
2008 01 06 04 00 127  6.1  7.3  2.51  7.69  6.21 999 1016.0 999.0  25.4 999.0 99.0 99.00
2008 01 06 05 00 121  6.5  7.6  2.46  8.33  6.24 999 1016.4 999.0  25.4 999.0 99.0 99.00
2008 01 06 06 00 123  7.4  8.6  2.27  7.69  6.12 999 1017.0 999.0  25.4 999.0 99.0 99.00
2008 01 06 07 00 112  7.2  8.7  2.29  7.14  6.25 999 1017.7 999.0  25.4 999.0 99.0 99.00
2008 01 06 08 00 108  8.4 10.6  2.38  9.09  6.06 999 1018.0 999.0  25.4 999.0 99.0 99.00
2008 01 06 09 00 107  7.9  9.8  2.30  8.33  6.03 999 1017.9 999.0  25.4 999.0 99.0 99.00
2008 01 06 10 00  92  7.0  8.1  2.36  8.33  6.13 999 1018.1 999.0  25.4 999.0 99.0 99.00
2008 01 06 11 00  93  6.9  8.1  2.18  9.09  6.12 999 1017.9 999.0  25.4 999.0 99.0 99.00
2008 01 06 12 00  99  6.8  8.1  2.09  8.33  5.75 999 1017.6 999.0  25.4 999.0 99.0 99.00
2008 01 06 13 00  96  6.1  6.9  2.17  8.33  6.01 999 1017.2 999.0  25.4 999.0 99.0 99.00
2008 01 06 14 00  89  5.8  7.0  2.23  8.33  6.10 999 1017.1 999.0  25.4 999.0 99.0 99.00
2008 01 06 15 00 107  5.4  6.6  2.22  8.33  6.33 999 1017.1 999.0  25.4 999.0 99.0 99.00
2008 01 06 16 00 114  5.8  7.1  2.05  9.09  6.30 999 1017.6 999.0  25.4 999.0 99.0 99.00
2008 01 06 17 00 106  5.7  6.9  2.07  8.33  6.24 999 1018.2 999.0  25.4 999.0 99.0 99.00
2008 01 06 18 00 114  6.1  7.3  1.94  8.33  6.10 999 1018.6 999.0  25.4 999.0 99.0 99.00
2008 01 06 19 00 111  5.7  6.7  1.93  8.33  6.16 999 1019.0 999.0  25.4 999.0 99.0 99.00
2008 01 06 20 00 115  6.6  8.1  1.78  8.33  6.12 999 1019.1 999.0  25.4 999.0 99.0 99.00
2008 01 06 21 00 125  6.9  8.1  2.34  8.33  6.51 999 1018.9 999.0  25.4 999.0 99.0 99.00
2008 01 06 22 00 122  7.0  8.6  2.07  8.33  5.97 999 1018.3 999.0  25.3 999.0 99.0 99.00
2008 01 06 23 00 128  8.0  9.5  2.19  7.69  5.90 999 1017.3 999.0  25.4 999.0 99.0 99.00
2008 01 07 00 00 133  8.3  9.9  2.12  8.33  5.81 999 1016.0 999.0  25.4 999.0 99.0 99.00
2008 01 07 01 00 128  7.6  9.1  2.17 12.90  6.06 999 1015.6 999.0  25.4 999.0 99.0 99.00
2008 01 07 02 00 113  7.0  8.2  2.23  8.33  5.93 999 1015.6 999.0  25.4 999.0 99.0 99.00
2008 01 07 03 00 117  7.4  8.5  2.27  8.33  5.92 999 1015.5 999.0  25.4 999.0 99.0 99.00
2008 01 07 04 00 114  7.2  8.8  2.16  8.33  5.65 999 1015.6 999.0  25.4 999.0 99.0 99.00
2008 01 07 05 00 111  7.9  9.2  2.12  8.33  5.78 999 1016.1 999.0  25.4 999.0 99.0 99.00
2008 01 07 06 00 109  7.5  9.2  2.26  9.09  5.98 999 1016.7 999.0  25.4 999.0 99.0 99.00
2008 01 07 07 00 105  8.2 10.4  2.22  9.09  5.91 999 1016.9 999.0  25.4 999.0 99.0 99.00
2008 01 07 08 00 103  7.6  8.8  2.20  9.09  6.02 999 1017.2 999.0  25.3 999.0 99.0 99.00
2008 01 07 09 00 112  7.2  8.7  2.18  9.09  5.90 999 1017.6 999.0  25.3 999.0 99.0 99.00
2008 01 07 10 00 116  6.9  8.6  2.16  9.09  5.83 999 1017.5 999.0  25.3 999.0 99.0 99.00
2008 01 07 11 00 109  6.8  8.3  2.27 10.00  6.00 999 1017.2 999.0  25.3 999.0 99.0 99.00
2008 01 07 12 00 111  6.9  8.1  2.19  8.33  5.95 999 1016.9 999.0  25.2 999.0 99.0 99.00
2008 01 07 13 00 105  6.0  7.3  2.15  8.33  5.78 999 1016.4 999.0  25.3 999.0 99.0 99.00
2008 01 07 14 00 102  5.4  7.1  2.26  9.09  6.06 999 1016.0 999.0  25.3 999.0 99.0 99.00
2008 01 07 15 00 107  6.2  7.6  2.11  9.09  6.09 999 1015.9 999.0  25.3 999.0 99.0 99.00
2008 01 07 16 00 106  6.3  7.5  2.17  8.33  6.09 999 1016.1 999.0  25.3 999.0 99.0 99.00
2008 01 07 17 00 108  7.1  8.8  2.25  9.09  6.26 999 1016.4 999.0  25.4 999.0 99.0 99.00
2008 01 07 18 00 108  7.4  9.2  2.21  9.09  6.08 999 1016.9 999.0  25.4 999.0 99.0 99.00
2008 01 07 19 00 110  7.8  9.3  2.05  9.09  5.93 999 1017.4 999.0  25.4 999.0 99.0 99.00
2008 01 07 20 00 112  7.0  8.1  2.07  9.09  5.85 999 1018.0 999.0  25.5 999.0 99.0 99.00
2008 01 07 21 00 109  6.6  8.0  2.18  9.09  6.20 999 1018.0 999.0  25.6 999.0 99.0 99.00
2008 01 07 22 00 119  6.9  8.5  2.15  9.09  6.14 999 1017.4 999.0  25.6 999.0 99.0 99.00
2008 01 07 23 00 115  7.5  9.2  2.20  9.09  6.03 999 1016.7 999.0  25.6 999.0 99.0 99.00
2008 01 08 00 00 110  7.2  8.8  2.28  9.09  6.02 999 1015.8 999.0  25.6 999.0 99.0 99.00
2008 01 08 01 00 104  6.8  8.3  2.21  9.09  6.05 999 1015.0 999.0  25.6 999.0 99.0 99.00
2008 01 08 02 00 114  6.6  7.9  2.33  8.33  6.04 999 1015.0 999.0  25.6 999.0 99.0 99.00
2008 01 08 03 00 110  6.7  7.9  2.23  9.09  6.15 999 1015.1 999.0  25.6 999.0 99.0 99.00
2008 01 08 04 00 117  7.2  8.3  2.20  9.09  5.99 999 1015.7 999.0  25.6 999.0 99.0 99.00
2008 01 08 05 00 105  6.9  8.3  2.06  8.33  5.95 999 1016.1 999.0  25.6 999.0 99.0 99.00
2008 01 08 06 00 111  6.8  8.3  2.00  9.09  5.72 999 1016.6 999.0  25.5 999.0 99.0 99.00
2008 01 08 07 00 110  7.4  8.8  2.13  9.09  5.91 999 1017.1 999.0  25.5 999.0 99.0 99.00
2008 01 08 08 00 116  7.6  9.2  2.05  8.33  5.88 999 1017.4 999.0  25.5 999.0 99.0 99.00
2008 01 08 09 00 108  8.0  9.8  2.00  8.33  5.53 999 1017.5 999.0  25.5 999.0 99.0 99.00
2008 01 08 10 00 119  8.7 10.4  2.05  9.09  5.50 999 1017.2 999.0  25.5 999.0 99.0 99.00
2008 01 08 11 00 115  8.1 10.0  2.20  8.33  5.72 999 1017.1 999.0  25.5 999.0 99.0 99.00
2008 01 08 12 00 118  7.7  9.2  2.10  7.69  5.58 999 1016.8 999.0  25.4 999.0 99.0 99.00
2008 01 08 13 00 124  7.2  8.3  2.03  8.33  5.66 999 1016.4 999.0  25.4 999.0 99.0 99.00
2008 01 08 14 00 124  7.4  9.0  2.18  9.09  6.04 999 1015.9 999.0  25.4 999.0 99.0 99.00
2008 01 08 15 00 113  7.9  9.8  2.16  9.09  5.95 999 1016.0 999.0  25.4 999.0 99.0 99.00
2008 01 08 16 00 126  8.0  9.8  2.13  9.09  5.81 999 1016.1 999.0  25.5 999.0 99.0 99.00
2008 01 08 17 00 120  8.6 10.0  2.05  9.09  5.77 999 1016.5 999.0  25.5 999.0 99.0 99.00
2008 01 08 18 00 127  8.5 10.7  2.16 10.00  5.59 999 1017.2 999.0  25.5 999.0 99.0 99.00
2008 01 08 19 00 126  8.4 10.0  2.27  9.09  5.72 999 1018.1 999.0  25.5 999.0 99.0 99.00
2008 01 08 20 00 119  7.3  8.9  2.10  9.09  5.64 999 1018.7 999.0  25.5 999.0 99.0 99.00
2008 01 08 21 00 123  7.8  9.2  2.22  9.09  5.70 999 1018.7 999.0  25.5 999.0 99.0 99.00
